epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
1,0.7853,0.7289,0.5362,0.8623,0.77,0.466
2,0.8579,0.7935,0.3942,0.8715,0.8,0.4035
3,0.8658,0.801,0.3692,0.8871,0.76,0.3746
4,0.8769,0.801,0.3511,0.9017,0.83,0.3427
5,0.8789,0.8159,0.3491,0.9121,0.87,0.3323
6,0.885,0.8109,0.3383,0.9179,0.84,0.3255
7,0.8999,0.8396,0.3214,0.9169,0.84,0.3149
8,0.8889,0.8221,0.3311,0.9233,0.83,0.3161
9,0.9037,0.8333,0.3108,0.9296,0.86,0.305
10,0.9051,0.8321,0.3057,0.9259,0.85,0.3048
11,0.9022,0.8271,0.3108,0.923,0.85,0.304
12,0.926,0.8582,0.2765,0.9267,0.86,0.2991
13,0.9172,0.8371,0.2833,0.9274,0.84,0.2922
14,0.9081,0.8408,0.3031,0.9296,0.85,0.2916
15,0.9144,0.8445,0.2904,0.9301,0.84,0.2981
16,0.9391,0.8694,0.2573,0.9415,0.85,0.2747
17,0.934,0.857,0.2575,0.9446,0.87,0.2681
18,0.939,0.8694,0.2509,0.9446,0.86,0.2675
19,0.935,0.8657,0.2577,0.9536,0.88,0.2496
20,0.9342,0.8731,0.2568,0.9587,0.9,0.2421
21,0.9476,0.8731,0.2348,0.9553,0.87,0.2454
22,0.9337,0.8582,0.2614,0.9495,0.89,0.2555
23,0.9479,0.8781,0.2358,0.9551,0.88,0.2479
24,0.9485,0.8818,0.2385,0.9575,0.88,0.2431
25,0.9526,0.8856,0.2298,0.9546,0.87,0.2368
26,0.952,0.8868,0.2264,0.9677,0.92,0.2173
27,0.953,0.8905,0.2206,0.967,0.93,0.2061
28,0.9506,0.8918,0.2371,0.9633,0.87,0.2189
29,0.9623,0.9042,0.2074,0.9616,0.88,0.2197
30,0.957,0.898,0.2191,0.9711,0.91,0.2018
